Time,sensor_mo.mean,Date,StudentID,TimePeriod,date-year,date-month,date-day,Season,Semester,Weekday
25/11/2024 11:00,0,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:05,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:10,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:15,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:20,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:25,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:30,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:35,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:40,0,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:45,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:50,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:55,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:00,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:05,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:10,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:15,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:20,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:25,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:30,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:35,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:40,0,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:45,0,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:50,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 12:55,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 13:00,1,2024-11-25,2,2,2024,11,25,3,0,0
25/11/2024 11:00,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:05,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:10,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:15,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:20,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:25,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:30,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:35,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:40,0,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:45,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:50,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:55,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:00,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:05,0,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:10,0,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:15,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:20,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:25,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:30,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:35,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:40,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:45,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:50,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 12:55,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 13:00,1,2024-11-25,3,2,2024,11,25,3,0,0
25/11/2024 11:00,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:05,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:10,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:15,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:20,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:25,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:30,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:35,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:40,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:45,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:50,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:55,0,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:00,0,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:05,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:10,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:15,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:20,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:25,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:30,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:35,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:40,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:45,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:50,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 12:55,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 13:00,1,2024-11-25,4,2,2024,11,25,3,0,0
25/11/2024 11:00,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:05,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:10,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:15,0,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:20,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:25,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:30,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:35,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:40,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:45,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:50,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:55,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:00,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:05,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:10,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:15,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:20,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:25,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:30,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:35,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:40,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:45,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:50,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 12:55,1,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 13:00,0,2024-11-25,5,2,2024,11,25,3,0,0
25/11/2024 11:00,0,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:05,0,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:10,0,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:15,0,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:20,0,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:25,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:30,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:35,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:40,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:45,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:50,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 11:55,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:00,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:05,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:10,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:15,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:20,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:25,0,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:30,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:35,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:40,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:45,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:50,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 12:55,1,2024-11-25,6,2,2024,11,25,3,0,0
25/11/2024 13:00,1,2024-11-25,6,2,2024,11,25,3,0,0
28/10/2024 11:00,0,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:05,0,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:10,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:15,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:20,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:25,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:30,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:35,0,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:40,0,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:45,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:50,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:55,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:00,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:05,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:10,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:15,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:20,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:25,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:30,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:35,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:40,0,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:45,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:50,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 12:55,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 13:00,1,2024-10-28,1,2,2024,10,28,3,0,0
28/10/2024 11:00,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:05,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:10,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:15,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:20,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:25,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:30,0,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:35,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:40,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:45,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:50,0,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:55,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:00,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:05,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:10,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:15,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:20,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:25,0,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:30,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:35,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:40,0,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:45,0,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:50,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 12:55,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 13:00,1,2024-10-28,2,2,2024,10,28,3,0,0
28/10/2024 11:00,0,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:05,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:10,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:15,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:20,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:25,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:30,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:35,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:40,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:45,0,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:50,0,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:55,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:00,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:05,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:10,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:15,0,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:20,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:25,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:30,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:35,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:40,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:45,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:50,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 12:55,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 13:00,1,2024-10-28,3,2,2024,10,28,3,0,0
28/10/2024 11:00,0,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:05,0,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:10,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:15,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:20,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:25,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:30,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:35,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:40,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:45,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:50,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 11:55,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:00,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:05,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:10,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:15,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:20,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:25,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:30,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:35,1,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:40,0,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:45,0,2024-10-28,4,2,2024,10,28,3,0,0
28/10/2024 12:50,1,2024-10-28,4,2,2024,10,28,3,0,0
